# Family Xorddos
/usr/bin/oegecazifg: 1
/usr/bin/sxzsezqnje: 1
/tmp/gqibvvdllm: 1
/usr/bin/kutzjyffpj: 1
/bin/jjdhsvsikb: 1
/usr/bin/pbyxicznrj: 1
/bin/rxauqbwlig: 1
/bin/npdvdsculy: 1
/etc/rc5.d/S90hktspplivc: 1
/usr/bin/xhpmbcrrup: 1
/bin/zuozltittl: 1
/usr/bin/vfagyhmnmq: 1
/usr/bin/jjdhsvsikb: 1
/tmp/fryefkjspf: 1
/tmp/ivahgrmsbx: 1
/usr/bin/gqibvvdllm: 1
/bin/derlybjcdd: 1
/usr/bin/hykjxnkmxf: 1
/bin/swmvnkxrkx: 1
/tmp/akhwzkhzuw: 1
/usr/bin/phytxysbdz: 1
/bin/xlvksrmyip: 1
/usr/bin/zhyjpgxdro: 1
/tmp/zuozltittl: 1
/usr/bin/mpxhbkezgs: 1
/tmp/ovgafhjgpl: 1
/usr/bin/hktspplivc: 1
/etc/rc1.d/S90hktspplivc: 1
/usr/bin/qnhpymldyj: 1
/bin/irjeplnjfh: 1
/tmp/dglpokehpx: 1
/bin/dglpokehpx: 1
/bin/qzfoszkfmk: 1
/tmp/rclsmmdsky: 1
/tmp/jjdhsvsikb: 1
/usr/bin/rclsmmdsky: 1
/bin/phytxysbdz: 1
/bin/qnhpymldyj: 1
/tmp/lwtwzkbyub: 1
/tmp/ylatkabvub: 1
/bin/tvyhaxtnrw: 1
/tmp/irjeplnjfh: 1
/tmp/zhyjpgxdro: 1
/bin/kyskgsupuj: 1
/etc/rc.d/rc3.d/S90hktspplivc: 1
/usr/bin/dwkhihkxni: 1
/bin/gbrjdgmndb: 1
/bin/zhyjpgxdro: 1
/usr/bin/mlexaznjhu: 1
/tmp/vqkqbwaquc: 1
/bin/xhpmbcrrup: 1
/usr/bin/qnkgdeccuq: 1
/tmp/phytxysbdz: 1
/tmp/derlybjcdd: 1
/tmp/cbjximvwfb: 1
/tmp/gbrjdgmndb: 1
/usr/bin/lwtwzkbyub: 1
/usr/bin/cewcafucaf: 1
/tmp/mlexaznjhu: 1
/usr/bin/kyskgsupuj: 1
/bin/eajfmlaryg: 1
/tmp/vfagyhmnmq: 1
/usr/bin/epyiacxuot: 1
/bin/lwtwzkbyub: 1
/usr/bin/derlybjcdd: 1
/bin/mfkrwuzott: 1
/tmp/hykjxnkmxf: 1
/tmp/ffubltkakm: 1
/bin/epyiacxuot: 1
/usr/bin/pymfxvjiqa: 1
/usr/bin/cbjximvwfb: 1
