EntityType,ActionType,Source,Syscall,EnVerb,Sentence
PROC,PROC_SET,man,ssetmask(),manipulate,
PROC,PROC_SET,man,timer_settime(),disarm,
PROC,PROC_SET,man,timer_settime(),arm,
PROC,PROC_TRACE,man,ptrace(),control,
PROC,PROC_TRACE,man,ptrace(),change,
PROC,PROC_TRACE,man,ptrace(),observe,
PROC,PROC_TRACE,man,ptrace(),examine,
PROC,PROC_TRACE,man,ptrace(),trace,
PROC,PROC_WAIT,man,clock_nanosleep(),suspend,
PROC,PROC_WAIT,man,clock_nanosleep(),sleep,
PROC,PROC_WAIT,man,idle(),lower,
PROC,PROC_WAIT,man,idle(),make,
PROC,PROC_WAIT,man,idle(),mark,
PROC,PROC_WAIT,man,idle(),enter,
PROC,PROC_WAIT,man,pause(),wait for,
PROC,PROC_WAIT,man,rt_sigsuspend(),wait for,
PROC,PROC_WAIT,man,rt_sigtimedwait(),wait for,
PROC,PROC_WAIT,man,sigsuspend(),wait for,
PROC,PROC_WAIT,man,sigsuspend(),replace,
PROC,PROC_WAIT,man,sigsuspend(),suspend,
PROC,PROC_WAIT,man,wait4(),wait for,
PROC,PROC_WAIT,man,waitid(),wait for,
PROC,PROC_WAIT,man,waitpid(),wait for,
TIME,TIME_GET,man,clock_getres(),get,
TIME,TIME_GET,man,clock_gettime(),set,
TIME,TIME_GET,man,clock_gettime(),get,
TIME,TIME_GET,man,ftime(),return,
TIME,TIME_GET,man,gettimeofday(),get,
TIME,TIME_GET,man,profil(),find out,
TIME,TIME_GET,man,profil(),execute,
TIME,TIME_GET,man,time(),get,
TIME,TIME_GET,man,times(),get,
TIME,TIME_SET,man,adjtimex(),tune,
TIME,TIME_SET,man,clock_adjtime(),tune,
TIME,TIME_SET,man,clock_settime(),set,
TIME,TIME_SET,man,clock_settime(),retrieve,
TIME,TIME_SET,man,settimeofday(),set,
TIME,TIME_SET,man,stime(),set,
