step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
706,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
708,1526,proc,17,connect,23.236.66.13:50050,net,6,1
709,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
710,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
712,1526,proc,17,connect,23.236.66.13:50050,net,6,1
713,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
714,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
716,1526,proc,17,connect,23.236.66.13:50050,net,6,1
717,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
718,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
720,1526,proc,17,connect,23.236.66.13:50050,net,6,1
721,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
722,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
724,1526,proc,17,connect,23.236.66.13:50050,net,6,1
725,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
726,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
728,1526,proc,17,connect,23.236.66.13:50050,net,6,1
729,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
730,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
732,1526,proc,17,connect,23.236.66.13:50050,net,6,1
733,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
734,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
736,1526,proc,17,connect,23.236.66.13:50050,net,6,1
737,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
738,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
740,1526,proc,17,connect,23.236.66.13:50050,net,6,1
741,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
742,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
744,1526,proc,17,connect,23.236.66.13:50050,net,6,1
745,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
746,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
748,1526,proc,17,connect,23.236.66.13:50050,net,6,1
749,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
750,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
752,1526,proc,17,connect,23.236.66.13:50050,net,6,1
753,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
754,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
756,1526,proc,17,connect,23.236.66.13:50050,net,6,1
757,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
758,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
760,1527,proc,16,open,/proc/net/dev,file,3,1,discovery
761,1527,proc,16,lseek,/proc/net/dev,file,3,0
762,1527,proc,16,read,/proc/net/dev,file,3,0
763,1527,proc,16,open,/proc/net/dev,file,3,1
764,1527,proc,16,lseek,/proc/net/dev,file,3,0
765,1527,proc,16,read,/proc/net/dev,file,3,0
766,1527,proc,16,open,/proc/net/dev,file,3,1
767,1527,proc,16,lseek,/proc/net/dev,file,3,0
768,1527,proc,16,read,/proc/net/dev,file,3,0
769,1527,proc,16,open,/proc/net/dev,file,3,1
770,1527,proc,16,lseek,/proc/net/dev,file,3,0
771,1527,proc,16,read,/proc/net/dev,file,3,0
772,1527,proc,16,open,/proc/net/dev,file,3,1
773,1527,proc,16,lseek,/proc/net/dev,file,3,0
774,1527,proc,16,read,/proc/net/dev,file,3,0
775,1527,proc,16,open,/proc/net/dev,file,3,1
776,1527,proc,16,lseek,/proc/net/dev,file,3,0
777,1527,proc,16,read,/proc/net/dev,file,3,0
778,1527,proc,16,open,/proc/net/dev,file,3,1
779,1527,proc,16,lseek,/proc/net/dev,file,3,0
780,1527,proc,16,read,/proc/net/dev,file,3,0
781,1527,proc,16,open,/proc/net/dev,file,3,1
782,1527,proc,16,lseek,/proc/net/dev,file,3,0
783,1527,proc,16,read,/proc/net/dev,file,3,0
784,1527,proc,16,open,/proc/net/dev,file,3,1
785,1527,proc,16,lseek,/proc/net/dev,file,3,0
786,1527,proc,16,read,/proc/net/dev,file,3,0
787,1527,proc,16,open,/proc/net/dev,file,3,1
788,1527,proc,16,lseek,/proc/net/dev,file,3,0
789,1527,proc,16,read,/proc/net/dev,file,3,0
791,1527,proc,16,open,/sys/devices/system/cpu/online,file,2,1,discovery
792,1527,proc,16,read,/sys/devices/system/cpu/online,file,2,0
794,1527,proc,16,mmap2,23.236.66.13:50050,net,6,1
798,1527,proc,16,open,/proc/stat,file,3,1
799,1527,proc,16,fstat64,/proc/stat,file,3,0
800,1527,proc,16,mmap2,23.236.66.13:50050,net,6,1
801,1527,proc,16,read,/proc/stat,file,3,0,discovery
804,1527,proc,16,open,/proc/stat,file,3,1
805,1527,proc,16,fstat64,/proc/stat,file,3,0
806,1527,proc,16,mmap2,23.236.66.13:50050,net,6,1
807,1527,proc,16,read,/proc/stat,file,3,0
809,1527,proc,16,open,/proc/net/dev,file,3,1
810,1527,proc,16,lseek,/proc/net/dev,file,3,0
811,1527,proc,16,read,/proc/net/dev,file,3,0
812,1527,proc,16,open,/proc/net/dev,file,3,1
813,1527,proc,16,lseek,/proc/net/dev,file,3,0
814,1527,proc,16,read,/proc/net/dev,file,3,0
815,1527,proc,16,open,/proc/net/dev,file,3,1
816,1527,proc,16,lseek,/proc/net/dev,file,3,0
817,1527,proc,16,read,/proc/net/dev,file,3,0
818,1527,proc,16,open,/proc/net/dev,file,3,1
819,1527,proc,16,lseek,/proc/net/dev,file,3,0
820,1527,proc,16,read,/proc/net/dev,file,3,0
821,1527,proc,16,open,/proc/net/dev,file,3,1
822,1527,proc,16,lseek,/proc/net/dev,file,3,0
